index,english,garo,category,notes,tagged_verified_high
418,"fever","Sin··ding··a","health","",NO — outlier
3058,"Afternoon","an··tam","uncategorized","variant/VERIFIED/HIGH",yes
3060,"Agree","ku··chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3061,"Agree","ku··ra·chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3069,"Answer","ku··chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3072,"Apply","pa··a","uncategorized","variant/VERIFIED/HIGH",yes
3087,"Bamboo","wa··","uncategorized","variant/VERIFIED/HIGH",yes
3088,"Banana","te··rik","food","variant/VERIFIED/HIGH",yes
3090,"Bear","ba··a","animals","variant/VERIFIED/HIGH",yes
3099,"Big","dal··a","uncategorized","variant/VERIFIED/HIGH",yes
3102,"Bitter","ka··a","uncategorized","variant/VERIFIED/HIGH",yes
3106,"Blood","han··chi","health","variant/VERIFIED/HIGH",yes
3109,"Boil","bi·rot·ma··mong","uncategorized","variant/VERIFIED/HIGH",yes
3117,"Brave","pa··a","uncategorized","variant/VERIFIED/HIGH",yes
3118,"Brave","sang··chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3124,"Broom","sal··a","uncategorized","variant/VERIFIED/HIGH",yes
3137,"Catch","ra··chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3138,"Catch","rim··a","uncategorized","variant/VERIFIED/HIGH",yes
3139,"Catch","rim··chak·a","uncategorized","variant/VERIFIED/HIGH",yes
3143,"Chili","jal··ik","food","variant/VERIFIED/HIGH",yes
3144,"Chop","den··a","uncategorized","variant/VERIFIED/HIGH",yes
3150,"Claw","ku··ak·a","uncategorized","variant/VERIFIED/HIGH",yes
3155,"Clever","hai··man·a ku··man·a","uncategorized","variant/VERIFIED/HIGH",yes
3162,"Cloth","ba··ra","uncategorized","variant/VERIFIED/HIGH",yes
3164,"Clothes","ba··ra","uncategorized","variant/VERIFIED/HIGH",yes
3166,"Cockroach","ka··ra·o","uncategorized","variant/VERIFIED/HIGH",yes
3167,"Cockroach","sel··uk","uncategorized","variant/VERIFIED/HIGH",yes
3169,"Comb","ken··a","uncategorized","variant/VERIFIED/HIGH",yes
3171,"Come","i··a","uncategorized","variant/VERIFIED/HIGH",yes
3172,"Come","re··a","uncategorized","variant/VERIFIED/HIGH",yes
3173,"Come","re··ba·a","uncategorized","variant/VERIFIED/HIGH",yes
3177,"Cook","song··a","food","variant/VERIFIED/HIGH",yes
3180,"Cow","ma··su","animals","variant/VERIFIED/HIGH",yes
3181,"Crab","hang··ki","animals","variant/VERIFIED/HIGH",yes
3200,"Deep","ting··a","uncategorized","variant/VERIFIED/HIGH",yes
3204,"Dirty","ma··bak·a","uncategorized","variant/VERIFIED/HIGH",yes
3221,"Dry","ran··a","food","variant/VERIFIED/HIGH",yes
3231,"Eat","cha··a","food","variant/VERIFIED/HIGH",yes
3242,"Enough","chu··ong·a","uncategorized","variant/VERIFIED/HIGH",yes
3245,"Evening","an··tam","uncategorized","variant/VERIFIED/HIGH",yes
3249,"Far","chel··a","travel","variant/VERIFIED/HIGH",yes
3251,"Fast","bing··si·bing··si","uncategorized","variant/VERIFIED/HIGH",yes
3257,"Fever","ding··du·a","health","variant/VERIFIED/HIGH",yes
3258,"Fever","han··ding·a","health","variant/VERIFIED/HIGH",yes
