key,group_size,index,english,garo,category,notes
"3",2,1055,"3","soul","general",""
"3",2,3052,"3","gittam","numbers","VERIFIED/HIGH"
"one dog",2,0,"one dog","sa mang·sa","animals",""
"one dog",2,3440,"one dog","achak mang·sa","numbers","VERIFIED/HIGH"
"one person",2,3,"one person","sa mande·sa","numbers",""
"one person",2,3441,"one person","mande sak·sa","numbers","VERIFIED/HIGH"
"pineapple",2,15,"pineapple","Anaros","general",""
"pineapple",2,3477,"Pineapple","a·na·ros","food","variant/VERIFIED/HIGH"
"banana",2,16,"banana","Te·rik","general",""
"banana",2,3088,"Banana","te··rik","food","variant/VERIFIED/HIGH"
"orange",4,17,"orange","Narang","general",""
"orange",4,3446,"Orange","ko·mil·a","food","variant/VERIFIED/HIGH"
"orange",4,3447,"Orange","na·rang","food","variant/VERIFIED/HIGH"
"orange",4,6836,"orange","a·mnk","food","VERIFIED/HIGH/doc7"
"papaya",3,19,"papaya","Modu","general",""
"papaya",3,3459,"Papaya","mo·du","food","variant/VERIFIED/HIGH"
"papaya",3,3460,"Papaya","pe·pe","food","variant/VERIFIED/HIGH"
"jackfruit",2,20,"jackfruit","Te·brong","general",""
"jackfruit",2,3344,"Jackfruit","te··brong","uncategorized","variant/VERIFIED/HIGH"
"mango",2,21,"mango","Te·gachu","general",""
"mango",2,3396,"Mango","te··ga·chu","food","variant/VERIFIED/HIGH"
"coconut",2,23,"coconut","Narikel","general",""
"coconut",2,3168,"Coconut","na·ri·kel","food","variant/VERIFIED/HIGH"
"watermelon",2,24,"watermelon","Te·e raja","general",""
"watermelon",2,3704,"Watermelon","tor·mus","food","variant/VERIFIED/HIGH"
"sugar cane",2,27,"sugar cane","Ge·rit","food",""
"sugar cane",2,3634,"Sugar Cane","grit","food","variant/VERIFIED/HIGH"
"custard apple",2,30,"custard apple","Atapol","general",""
"custard apple",2,3191,"Custard Apple","a·ta·pol","uncategorized","variant/VERIFIED/HIGH"
"pomelo",2,31,"pomelo","Narang·gira","general",""
"pomelo",2,3486,"Pomelo","jam·bu·ra","uncategorized","variant/VERIFIED/HIGH"
"pumpkin",2,35,"pumpkin","Gominda","general",""
"pumpkin",2,6858,"pumpkin","ak·ka·ru","food","VERIFIED/HIGH/doc7"
"potato",2,36,"potato","Alu","general",""
"potato",2,6849,"potato","al·u","food","VERIFIED/HIGH/doc7"
"tomato",2,37,"tomato","Baring belati","general",""
"tomato",2,3684,"Tomato","to·ma·to","food","variant/VERIFIED/HIGH"
"brinjal",2,38,"brinjal","Baring","general",""
"brinjal",2,3123,"Brinjal","ba·ring","uncategorized","variant/VERIFIED/HIGH"
"garlic",3,42,"garlic","Rasin·gipok","general",""
"garlic",3,3284,"Garlic","na·sin·do·oki","food","variant/VERIFIED/HIGH"
"garlic",3,3285,"Garlic","ro·sun gip·bok","food","variant/VERIFIED/HIGH"
"ginger",2,43,"ginger","Re·ching","general",""
"ginger",2,3288,"Ginger","e··ching","food","variant/VERIFIED/HIGH"
"cucumber",2,46,"cucumber","Te·e","general",""
"cucumber",2,3187,"Cucumber","so·sra","uncategorized","variant/VERIFIED/HIGH"
"sweet potato",2,51,"sweet potato","Ta·we","food",""
"sweet potato",2,3638,"Sweet Potato","ta··mil·ang","food","variant/VERIFIED/HIGH"
"onion",2,53,"onion","Rasin","general",""
"onion",2,3442,"Onion","ro·sun git·chak","food","variant/VERIFIED/HIGH"
"cabbage",3,54,"cabbage","Kobi","general",""
"cabbage",3,3133,"Cabbage","ba·da ko·pi","food","variant/VERIFIED/HIGH"
"cabbage",3,3134,"Cabbage","bi·jak ko·pi","food","variant/VERIFIED/HIGH"
"cauliflower",2,55,"cauliflower","Pul kobi","general",""
"cauliflower",2,3140,"Cauliflower","pul·ko·pi","uncategorized","variant/VERIFIED/HIGH"
"carrot",2,56,"carrot","Kajol","general",""
"carrot",2,3135,"Carrot","ga·jur","uncategorized","variant/VERIFIED/HIGH"
"love",3,60,"love","Ka·saa","emotions",""
"love",3,3393,"Love","ka··sa·a","uncategorized","variant/VERIFIED/HIGH"
"love",3,3394,"Love","mik·cha·a","uncategorized","variant/VERIFIED/HIGH"
"happiness",2,61,"happiness","Kusi","general",""
"happiness",2,3317,"Happiness","ku·si","uncategorized","variant/VERIFIED/HIGH"
"hope",4,66,"hope","Ka·donga","emotions",""
"hope",4,3331,"Hope","a·sa","uncategorized","variant/VERIFIED/HIGH"
"hope",4,3332,"Hope","ka··dong·a","uncategorized","variant/VERIFIED/HIGH"
"hope",4,3333,"Hope","mik·sok·a","uncategorized","variant/VERIFIED/HIGH"
"peace",2,67,"peace","Tom·tomani","emotions",""
"peace",2,3464,"Peace","Tom·toma","uncategorized","VERIFIED/HIGH v:Tom·tomani"
"pride",2,71,"pride","Gaora","general",""
"pride",2,3500,"Pride","ra·song","uncategorized","variant/VERIFIED/HIGH"
"worry",2,73,"worry","Gisik ding·a","general",""
"worry",2,3736,"Worry","sim·bra·a","uncategorized","variant/VERIFIED/HIGH"
"mercy",2,75,"mercy","Ka·sachakani","general",""
"mercy",2,3399,"Mercy","Kema","church","VERIFIED/HIGH v:Ka·sachakani"
"dog",2,80,"dog","Achak","animals",""
"dog",2,3213,"Dog","a·chak","animals","variant/VERIFIED/HIGH"
"cat",2,81,"cat","Menggo","animals",""
"cat",2,3136,"Cat","meng·gong","animals","variant/VERIFIED/HIGH"
"cow",2,82,"cow","Matchu","animals",""
"cow",2,3180,"Cow","ma··su","animals","variant/VERIFIED/HIGH"
"elephant",4,83,"elephant","Monga","animals",""
"elephant",4,3235,"Elephant","Mong","animals","VERIFIED/HIGH v:ha-ti / mong-ma"
"elephant",4,3236,"Elephant","ha·ti","animals","variant/VERIFIED/HIGH"
"elephant",4,3237,"Elephant","mong·ma","animals","variant/VERIFIED/HIGH"
"tiger",2,84,"tiger","Matcha","animals",""
"tiger",2,3676,"Tiger","mat·cha","animals","variant/VERIFIED/HIGH"
"deer",2,85,"deer","Matchok","general",""
"deer",2,3201,"Deer","mat·chok","animals","variant/VERIFIED/HIGH"
"goat",2,87,"goat","Do·bok","animals",""
"goat",2,3295,"Goat","do·omok","animals","variant/VERIFIED/HIGH"
"horse",2,88,"horse","Gure","animals",""
"horse",2,3336,"Horse","go·ra","animals","variant/VERIFIED/HIGH"
"monkey",6,89,"monkey","Makre","animals",""
"monkey",6,3404,"Monkey","ha·mak","animals","variant/VERIFIED/HIGH"
"monkey",6,3405,"Monkey","mak·kre","animals","variant/VERIFIED/HIGH"
"monkey",6,3406,"Monkey","rang·gol","animals","variant/VERIFIED/HIGH"
"monkey",6,6721,"monkey","ha·mak rang·gol","animals","UNVERIFIED/HIGH v:ha-mak / mak-kre / rang-gol"
"monkey",6,6821,"monkey","a·mak","animals","VERIFIED/HIGH/doc7"
"snake",2,90,"snake","Chipu","animals",""
"snake",2,3594,"Snake","chip·pu","animals","variant/VERIFIED/HIGH"
"rat",2,91,"rat","Mese","general",""
"rat",2,3522,"Rat","me·se","animals","variant/VERIFIED/HIGH"
"buffalo",2,92,"buffalo","Matma","general",""
"buffalo",2,3125,"Buffalo","mo·si","animals","variant/VERIFIED/HIGH"
"bear",4,93,"bear","Matmak","general",""
"bear",4,3090,"Bear","ba··a","animals","variant/VERIFIED/HIGH"
"bear",4,3091,"Bear","mak·bil","animals","variant/VERIFIED/HIGH"
