index,english,garo,category,notes,verification_tag,flags
11,About,Gimin,uncategorized,AMBIGUOUS/MEDIUM v:Nigimin / Samtangtangchi / Sepango,none,DUPLICATE_KEY
12,About,Nigimin,uncategorized,variant/AMBIGUOUS/MEDIUM,variant (other),DUPLICATE_KEY
13,About,Samtangtangchi,uncategorized,variant/AMBIGUOUS/MEDIUM,variant (other),DUPLICATE_KEY
14,About,Sepango,uncategorized,variant/AMBIGUOUS/MEDIUM,variant (other),DUPLICATE_KEY
18,Afternoon,Sal·aksol,uncategorized,VERIFIED/HIGH v:an˙-tam,VERIFIED/HIGH,DUPLICATE_KEY
19,Afternoon,an˙·tam,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
20,Agree,Ka·racha,uncategorized,VERIFIED/HIGH v:kin-a-chak-a / ku˙-chak-a / ku˙-ra-chak-a,VERIFIED/HIGH,DUPLICATE_KEY
21,Agree,kin·a·chak·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
22,Agree,ku˙·chak·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
23,Agree,ku˙·ra·chak·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
25,All,Gimikan,uncategorized,VERIFIED/HIGH v:-tok- / be-bak / gim-ik,VERIFIED/HIGH,DUPLICATE_KEY
26,All,·tok·,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
27,All,be·bak,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
28,All,gim·ik,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
29,Always,Pangnan,uncategorized,VERIFIED/HIGH v:jring-jring / pang-na,VERIFIED/HIGH,DUPLICATE_KEY
30,Always,jring·jring,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
31,Always,pang·na,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
38,Answer,Aganchakani,uncategorized,VERIFIED/HIGH v:Aganchaka / in-chak-a / ku˙-chak-a,VERIFIED/HIGH,DUPLICATE_KEY
39,Answer,Aganchaka,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
40,Answer,in·chak·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
41,Answer,ku˙·chak·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
43,Ant,Chibrim,animals,VERIFIED/HIGH v:ket-chi-ra / sim-il-chak,VERIFIED/HIGH,DUPLICATE_KEY
44,Ant,ket·chi·ra,animals,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
45,Ant,sim·il·chak,animals,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
47,Apply,Nonga,uncategorized,VERIFIED/HIGH v:pa˙-a / sit-a,VERIFIED/HIGH,DUPLICATE_KEY
48,Apply,pa˙·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
49,Apply,sit·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
50,Are you busy?,Jakchakjaengama?,phrases,AMBIGUOUS/HIGH v:Jakchakjaengama / jakchakja·ongama? / Jakchakja·ongama?,none,DUPLICATE_KEY
51,Are you busy?,Jakchakjaengama,phrases,variant/AMBIGUOUS/HIGH,variant (other),DUPLICATE_KEY
52,Are you busy?,jakchakja·ongama?,phrases,variant/AMBIGUOUS/HIGH,variant (other),DUPLICATE_KEY
55,Are you hungry?,Okkriengama?,phrases,AMBIGUOUS/HIGH v:Okkriengama / okkriengjokma? / Okkriengjokma?,none,DUPLICATE_KEY
56,Are you hungry?,Okkriengama,phrases,variant/AMBIGUOUS/HIGH,variant (other),DUPLICATE_KEY
57,Are you hungry?,okkriengjokma?,phrases,variant/AMBIGUOUS/HIGH,variant (other),DUPLICATE_KEY
67,Awkward,Nitoja ba nidik nisi daka,uncategorized,VERIFIED/HIGH v:Nitoja,VERIFIED/HIGH,DUPLICATE_KEY
68,Awkward,Nitoja,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
69,Axe,Rua (⚠ also means 'to pour' as verb),uncategorized,VERIFIED/HIGH v:Rua (⚠ verb: to pour) / ru-a,VERIFIED/HIGH,DUPLICATE_KEY
70,Axe,Rua (⚠ verb: to pour),uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
71,Axe,ru·a,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
72,Back,Janggila,uncategorized,VERIFIED/HIGH v:jang-gil,VERIFIED/HIGH,DUPLICATE_KEY
73,Back,jang·gil,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
77,Bag,Jol·a,uncategorized,VERIFIED/HIGH v:Thola / bek,VERIFIED/HIGH,DUPLICATE_KEY
78,Bag,Thola,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
79,Bag,bek,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
82,Bamboo,Wa·a,uncategorized,VERIFIED/HIGH v:wa˙-,VERIFIED/HIGH,DUPLICATE_KEY
83,Bamboo,wa˙·,uncategorized,variant/VERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
