index,english,garo,category,notes,verification_tag,flags
0,one dog,achak mang·sa,,,none,DUPLICATE_KEY
1,two birds,do·o mang·gni,,,none,DUPLICATE_KEY
2,three fish,na·tok mang·gittam,,,none,DUPLICATE_KEY
3,one person,mande sak·sa,,,none,DUPLICATE_KEY
4,two teachers,skigipa sak·gni,,,none,DUPLICATE_KEY
5,one coin,tangka gong·sa,,,none,DUPLICATE_KEY
6,five rupees,tangka gong·bonga,,,none,DUPLICATE_KEY
7,one book,ki·tap king·sa,,,none,DUPLICATE_KEY
8,three leaves,bijak king·gittam,,,none,DUPLICATE_KEY
9,one chair,chokki ge·sa,,,none,DUPLICATE_KEY
10,two knives,kettal ge·gni,,,none,DUPLICATE_KEY
11,den· (to carry),"den·a (past), den·enga (continuous)",,,none,DUPLICATE_KEY
12,cha· (to eat),"cha·a (past), cha·enga (continuous), cha·aha (past alt)",,,none,DUPLICATE_KEY
13,re·ang (to go),"re·ang·a (past), re·angenga (continuous)",,,none,DUPLICATE_KEY
14,on· (to give),"on·a (past), on·bo (command), on·enga (continuous)",,,none,DUPLICATE_KEY
15,pineapple,Anaros,,,none,DUPLICATE_KEY
16,banana,Te·rik,,,none,DUPLICATE_KEY
17,orange,Narang,,,none,DUPLICATE_KEY
18,guava,Goaba,,,none,DUPLICATE_KEY
19,papaya,Modu,,,none,DUPLICATE_KEY
20,jackfruit,Te·brong,,,none,DUPLICATE_KEY
21,mango,Te·gachu,,,none,DUPLICATE_KEY
22,lychee,Letchu,,,none,DUPLICATE_KEY
23,coconut,Narikel,,,none,DUPLICATE_KEY
24,watermelon,Te·e raja,,,none,DUPLICATE_KEY
25,lemon,Kakji,,,none,DUPLICATE_KEY
26,pomegranate,Dalim,,,none,DUPLICATE_KEY
27,sugar cane,Ge·rit,,,none,DUPLICATE_KEY
28,tamarind,Che·eng,,,none,DUPLICATE_KEY
29,pear,Naspati,,,none,DUPLICATE_KEY
30,custard apple,Atapol,,,none,DUPLICATE_KEY
31,pomelo,Narang·gira,,,none,DUPLICATE_KEY
32,blackberry,Jam,,,none,DUPLICATE_KEY
33,grapes,Drakka,,,none,DUPLICATE_KEY
34,wild berry,Bol·meseng,,,none,DUPLICATE_KEY
35,pumpkin,Gominda,,,none,DUPLICATE_KEY
36,potato,Alu,,,none,DUPLICATE_KEY
37,tomato,Baring belati,,,none,DUPLICATE_KEY
38,brinjal,Baring,,,none,DUPLICATE_KEY
39,bottle gourd,Lau,,,none,DUPLICATE_KEY
40,bitter gourd,Karela,,,none,DUPLICATE_KEY
41,bamboo shoot,Me·a,,,none,DUPLICATE_KEY
42,garlic,Rasin·gipok,,,none,DUPLICATE_KEY
43,ginger,Re·ching,,,none,DUPLICATE_KEY
44,chilli,Jal·ik,,,none,DUPLICATE_KEY
45,okra,Dorai,,,none,DUPLICATE_KEY
46,cucumber,Te·e,,,none,DUPLICATE_KEY
47,mustard leaves,Besual,,,none,DUPLICATE_KEY
48,spinach,Palong·sam,,,none,DUPLICATE_KEY
49,broad beans,Nakap,,,none,DUPLICATE_KEY
50,yam,Ta·a,,,none,DUPLICATE_KEY
51,sweet potato,Ta·we,,,none,DUPLICATE_KEY
52,colocasia,Thabisa,,,none,DUPLICATE_KEY
53,onion,Rasin,,,none,DUPLICATE_KEY
54,cabbage,Kobi,,,none,DUPLICATE_KEY
55,cauliflower,Pul kobi,,,none,DUPLICATE_KEY
56,carrot,Kajol,,,none,DUPLICATE_KEY
57,radish,Mula,,,none,DUPLICATE_KEY
58,drumstick,Sojona,,,none,DUPLICATE_KEY
59,peas,Motor,,,none,DUPLICATE_KEY
60,love,Ka·saa,,,none,DUPLICATE_KEY
61,happiness,Kusi,,,none,DUPLICATE_KEY
62,sadness,Duk,,,none,DUPLICATE_KEY
63,anger,Ka·o nanga,,,none,DUPLICATE_KEY
64,fear,Kenani,,,none,DUPLICATE_KEY
65,hatred,Mittera,,,none,DUPLICATE_KEY
66,hope,Ka·donga,,,none,DUPLICATE_KEY
67,peace,Tom·tomani,,,none,DUPLICATE_KEY
68,trust,Bebe ra·a,,,none,DUPLICATE_KEY
69,jealousy,Mikboka,,,none,DUPLICATE_KEY
70,shame,Kracha·a,,,none,DUPLICATE_KEY
71,pride,Gaora,,,none,DUPLICATE_KEY
72,surprise,Jagokani,,,none,DUPLICATE_KEY
73,worry,Gisik ding·a,,,none,DUPLICATE_KEY
74,patience,Chakchikani,,,none,DUPLICATE_KEY
75,mercy,Ka·sachakani,,,none,DUPLICATE_KEY
76,satisfaction,Chu·ongnika,,,none,DUPLICATE_KEY
77,loneliness,Saksan,,,none,DUPLICATE_KEY
78,grateful,Mitela,,,none,DUPLICATE_KEY
79,courage,Ka·rakani,,,none,DUPLICATE_KEY
80,dog,Achak,,,none,DUPLICATE_KEY
81,cat,Menggo,,,none,DUPLICATE_KEY
82,cow,Matchu,,,none,DUPLICATE_KEY
83,elephant,Monga,,,none,DUPLICATE_KEY
84,tiger,Matcha,,,none,DUPLICATE_KEY
85,deer,Matchok,,,none,DUPLICATE_KEY
86,pig,Wak,,,none,DUPLICATE_KEY
87,goat,Do·bok,,,none,DUPLICATE_KEY
88,horse,Gure,,,none,DUPLICATE_KEY
89,monkey,Makre,,,none,DUPLICATE_KEY
90,snake,Chipu,,,none,DUPLICATE_KEY
91,rat,Mese,,,none,DUPLICATE_KEY
92,buffalo,Matma,,,none,DUPLICATE_KEY
93,bear,Matmak,,,none,DUPLICATE_KEY
94,rabbit,Sapau,,,none,DUPLICATE_KEY
95,crow,Do·ka,,,none,DUPLICATE_KEY
96,hen,Do·bit,,,none,DUPLICATE_KEY
97,rooster,Do·bi,,,none,DUPLICATE_KEY
98,duck,Do·gep,,,none,DUPLICATE_KEY
99,owl,Do·po,,,none,DUPLICATE_KEY
100,eagle,Do·reng,,,none,DUPLICATE_KEY
101,parrot,Do·sik,,,none,DUPLICATE_KEY
102,pigeon,Do·bak,,,none,DUPLICATE_KEY
103,peacock,Do·de,,,none,DUPLICATE_KEY
104,sparrow,Do·matchi,,,none,DUPLICATE_KEY
105,eat,Cha·a,,,none,DUPLICATE_KEY
106,drink,Ringa,,,none,DUPLICATE_KEY
107,sleep,Tusia,,,none,DUPLICATE_KEY
108,walk,Re·a,,,none,DUPLICATE_KEY
109,run,Kat·a,,,none,DUPLICATE_KEY
110,speak,Agana,,,none,DUPLICATE_KEY
111,listen,Knachik·bo,,,none,DUPLICATE_KEY
112,see / look / watch,Nia,,,none,DUPLICATE_KEY
113,give,On·a,,,none,DUPLICATE_KEY
114,take,Ra·a,,,none,DUPLICATE_KEY
115,work,Dak·a,,,none,DUPLICATE_KEY
116,play,Kal·a,,,none,DUPLICATE_KEY
117,sit,Asong·a,,,none,DUPLICATE_KEY
118,stand,Chadenga,,,none,DUPLICATE_KEY
119,laugh,Ka·ding·a,,,none,DUPLICATE_KEY
120,cry,Grap·a,,,none,DUPLICATE_KEY
121,buy,Brea,,,none,DUPLICATE_KEY
122,sell,Pala,,,none,DUPLICATE_KEY
123,come,Re·ba·a,,,none,DUPLICATE_KEY
124,go,Re·ang·a,,,none,DUPLICATE_KEY
125,father,Pa / Apa,,,none,DUPLICATE_KEY
126,mother,Ma / Ama,,,none,DUPLICATE_KEY
127,son,Depante,,,none,DUPLICATE_KEY
128,daughter,Demechik,,,none,DUPLICATE_KEY
129,Grandfather,Abi·tang,,,none,DUPLICATE_KEY
130,grandmother,Ambichang,,,none,DUPLICATE_KEY
131,elder brother,Ada,,,none,DUPLICATE_KEY
132,elder sister,Abi,,,none,DUPLICATE_KEY
133,younger sibling,Jong / No,,,none,DUPLICATE_KEY
134,uncle,Mama / Pabok,,,none,DUPLICATE_KEY
135,aunt,Mani,,,none,DUPLICATE_KEY
136,friend,Ripeng,,,none,DUPLICATE_KEY
137,head,Sko,,,none,DUPLICATE_KEY
138,eye,Mikron,,,none,DUPLICATE_KEY
139,ear,Nachil,,,none,DUPLICATE_KEY
140,nose,Gingting,,,none,DUPLICATE_KEY
141,mouth,Ku·sik,,,none,DUPLICATE_KEY
142,hand,Jak,,,none,DUPLICATE_KEY
143,leg,Ja·a,,,none,DUPLICATE_KEY
144,hair,Kni,,,none,DUPLICATE_KEY
145,stomach,Ok,,,none,DUPLICATE_KEY
146,teeth,Wagam,,,none,DUPLICATE_KEY
147,tongue,Sre,,,none,DUPLICATE_KEY
148,skin,Bigil,,,none,DUPLICATE_KEY
149,heart,Ka·tong,,,none,DUPLICATE_KEY
150,red,Gitchak,,,none,DUPLICATE_KEY
151,white,Gipok,,,none,DUPLICATE_KEY
152,black,Gisim,,,none,DUPLICATE_KEY
153,green,Tangsek,,,none,DUPLICATE_KEY
154,blue,Tang·sim,,,none,DUPLICATE_KEY
155,yellow,Rimit,,,none,DUPLICATE_KEY
