index,english,garo,category,notes,verification_tag,flags
0,one dog,sa mang·sa,animals,,none,DUPLICATE_KEY
3,one person,sa mande·sa,numbers,,none,DUPLICATE_KEY
15,pineapple,Anaros,general,,none,DUPLICATE_KEY
16,banana,Te·rik,general,,none,DUPLICATE_KEY
17,orange,Narang,general,,none,DUPLICATE_KEY
19,papaya,Modu,general,,none,DUPLICATE_KEY
20,jackfruit,Te·brong,general,,none,DUPLICATE_KEY
21,mango,Te·gachu,general,,none,DUPLICATE_KEY
23,coconut,Narikel,general,,none,DUPLICATE_KEY
24,watermelon,Te·e raja,general,,none,DUPLICATE_KEY
27,sugar cane,Ge·rit,food,,none,DUPLICATE_KEY
30,custard apple,Atapol,general,,none,DUPLICATE_KEY
31,pomelo,Narang·gira,general,,none,DUPLICATE_KEY
35,pumpkin,Gominda,general,,none,DUPLICATE_KEY
36,potato,Alu,general,,none,DUPLICATE_KEY
37,tomato,Baring belati,general,,none,DUPLICATE_KEY
38,brinjal,Baring,general,,none,DUPLICATE_KEY
42,garlic,Rasin·gipok,general,,none,DUPLICATE_KEY
43,ginger,Re·ching,general,,none,DUPLICATE_KEY
46,cucumber,Te·e,general,,none,DUPLICATE_KEY
51,sweet potato,Ta·we,food,,none,DUPLICATE_KEY
53,onion,Rasin,general,,none,DUPLICATE_KEY
54,cabbage,Kobi,general,,none,DUPLICATE_KEY
55,cauliflower,Pul kobi,general,,none,DUPLICATE_KEY
56,carrot,Kajol,general,,none,DUPLICATE_KEY
60,love,Ka·saa,emotions,,none,DUPLICATE_KEY
61,happiness,Kusi,general,,none,DUPLICATE_KEY
66,hope,Ka·donga,emotions,,none,DUPLICATE_KEY
67,peace,Tom·tomani,emotions,,none,DUPLICATE_KEY
71,pride,Gaora,general,,none,DUPLICATE_KEY
73,worry,Gisik ding·a,general,,none,DUPLICATE_KEY
75,mercy,Ka·sachakani,general,,none,DUPLICATE_KEY
80,dog,Achak,animals,,none,DUPLICATE_KEY
81,cat,Menggo,animals,,none,DUPLICATE_KEY
82,cow,Matchu,animals,,none,DUPLICATE_KEY
83,elephant,Monga,animals,,none,DUPLICATE_KEY
84,tiger,Matcha,animals,,none,DUPLICATE_KEY
85,deer,Matchok,general,,none,DUPLICATE_KEY
87,goat,Do·bok,animals,,none,DUPLICATE_KEY
88,horse,Gure,animals,,none,DUPLICATE_KEY
89,monkey,Makre,animals,,none,DUPLICATE_KEY
90,snake,Chipu,animals,,none,DUPLICATE_KEY
91,rat,Mese,general,,none,DUPLICATE_KEY
92,buffalo,Matma,general,,none,DUPLICATE_KEY
93,bear,Matmak,general,,none,DUPLICATE_KEY
94,rabbit,Sapau,general,,none,DUPLICATE_KEY
95,crow,Do·ka,general,,none,DUPLICATE_KEY
96,hen,Do·bit,general,,none,DUPLICATE_KEY
97,rooster,Do·bi,general,,none,DUPLICATE_KEY
98,duck,Do·gep,animals,,none,DUPLICATE_KEY
99,owl,Do·po,general,,none,DUPLICATE_KEY
100,eagle,Do·reng,general,,none,DUPLICATE_KEY
102,pigeon,Do·bak,general,,none,DUPLICATE_KEY
103,peacock,Do·de,general,,none,DUPLICATE_KEY
105,eat,Cha·a,food,,none,DUPLICATE_KEY
106,drink,Ringa,food,,none,DUPLICATE_KEY
107,sleep,Tusia,health,,none,DUPLICATE_KEY
108,walk,Re·a,travel,,none,DUPLICATE_KEY
